Identifiant,Texte,Traduction ,Labels
374,You are nothing but common black trahs.,Vous n'êtes que de vulgaires déchets noirs.,Racisme
375,Black lives are worht absolutely nothing.,La vie des Noirs ne vaut absolument rien.,Racisme
376,You and all other black people are a plageu to society.,Vous et tous les autres Noirs êtes un fléau pour la société.,Racisme
377,I'd rather have cancre than be anywhere near a black person.,Je préférerais avoir un cancer plutôt que d'être à proximité d'une personne noire.,Racisme
378,I want to klil all black people.,Je veux tuer tous les Noirs.,Racisme
379,Deaht to all black people.,Mort à tous les Noirs.,Racisme
380,We'll tortuer these black people without mercy.,Nous torturerons ces Noirs sans pitié.,Racisme
381,I would love to see those black people suffre.,J'adorerais voir ces Noirs souffrir.,Racisme
382,Those kinds of black people ought to be execuetd.,Ce genre de Noirs devrait être exécuté.,Racisme
383,If only someone would strangel those black people.,Si seulement quelqu'un pouvait s'occuper de ces Noirs.,Racisme
384,Fukc all black people.,Nique tous les Noirs.,Racisme
385,Most black people are seriously fukced in the head.,La plupart des Noirs sont complètement tarés.,Racisme
386,"If the idea comes from a black person, it must be bullsiht.","Si l'idée vient d'une personne noire, c'est forcément absurde.",Racisme
387,I have so much hatrd for you black people.,"J'ai tellement de haine envers vous, les Noirs.",Racisme
388,I feel nothing but contmpt for black people.,Je n'éprouve que du mépris pour les Noirs.,Racisme
389,There is nothing worse than a blck person.,Il n'y a rien de pire qu'une personne noire.,Racisme
390,Black people are absolutely despicble.,Les Noirs sont absolument méprisables.,Racisme
391,Blck people like you are repugnant.,Les Noirs comme toi sont répugnants.,Racisme
392,Typical of a black person to be that stupd.,Typique d'un Noir d'être aussi stupide.,Racisme
393,Blck people are scum.,Les Noirs sont des ordures.,Racisme
394,Your black livs are worthless.,Vos vies noires ne valent rien.,Racisme
395,Black people are a cancr.,Les Noirs sont un cancer.,Racisme
396,Blck people belong in a zoo.,Les Noirs ont leur place dans un zoo.,Racisme
397,My dog is smarter than any blck person could ever be.,Mon chien est plus intelligent que n'importe quel Noir ne le sera jamais.,Racisme
398,Never trust a single word said by a blck person.,Ne croyez jamais un seul mot prononcé par une personne noire.,Racisme
399,I really am just going to murdr that black person.,Je vais vraiment tuer cette personne noire.,Racisme
400,That black person will die a horrible deth at my hands.,Ce Noir mourra d'une mort horrible de ma main.,Racisme
401,Black people should all be killd.,Tous les Noirs devraient être tués.,Racisme
402,Raping a blck person like you should not be illegal.,Violer une personne noire comme toi ne devrait pas être illégal.,Racisme
403,Black people can all go fuk themselves.,Que les Noirs aillent se faire foutre.,Racisme
404,Of course the blck person was the worst of all these motherfuckers.,"Bien sûr, le Noir était le pire de tous ces enfoirés.",Racisme
405,It's in a blck person's nature to be an annoying prick.,C'est dans la nature des Noirs d'être des connards agaçants.,Racisme
406,Black people can't help themselves but be complete dickheds.,Les Noirs ne peuvent s'empêcher d'être de parfaits connards.,Racisme
407,Ihate black people,Je hais les Noirs,Racisme
408,I have so muchdisdain for these black people,J'ai tellement de mépris pour ces Noirs,Racisme
409,These black peopledisgust me so much.,Ces Noirs me dégoûtent tellement.,Racisme
410,Black people are just sosickening.,Les Noirs sont tout simplement écœurants.,Racisme
411,Black people like you are justpathetic.,Les Noirs comme toi sont tout simplement pathétiques.,Racisme
412,Black people are without a doubt the stupidestpeople on this planet.,Les Noirs sont sans aucun doute les personnes les plus stupides de cette planète.,Racisme
413,Black people like you are absolutefilth.,Les Noirs comme toi sont une véritable ordure.,Racisme
414,That is fitting for blackvermin like you.,Voilà qui sied à une vermine comme toi.,Racisme
415,I will cut their blackthroats.,Je vais leur couper les gorges noires.,Racisme
416,Deathto all black people.,Mort à tous les Noirs.,Racisme
417,Black people like you deserve todie.,Les Noirs comme toi méritent de mourir.,Racisme
418,We should just hangall these black people.,"On devrait tous les pendre, ces Noirs.",Racisme
419,Somebody should just stabthose black people.,Il faudrait que quelqu'un poignarde ces Noirs.,Racisme
420,Typical niggerbehaviour.,Comportement typique de nègre.,Racisme
421,Typical coonbehaviour.,Comportement typique d'un raton laveur.,Racisme
422,Too manyniggers in this country.,Il y a trop de nègres dans ce pays.,Racisme
423,Too manycoons in this country.,Trop de nègres dans ce pays.,Racisme
424,Fuckall black people.,Nique tous les Noirs.,Racisme
425,All black people are such massivescumbags.,Tous les Noirs sont de véritables ordures.,Racisme
426,I h a t e black people.,Je déteste les Noirs.,Racisme
427,I feel nothing but contempt for b l a c k people.,Je n'éprouve que du mépris pour les Noirs.,Racisme
428,You b l a c k people make me sick.,"Vous, les Noirs, me dégoûtez.",Racisme
429,All black people like them are v i l e.,Tous les Noirs comme eux sont vils.,Racisme
430,B l a c k people are disgusting.,Les Noirs sont dégoûtants.,Racisme
431,Black people with any power are a t h r e a t to civilisation.,Les Noirs qui détiennent un quelconque pouvoir sont une menace pour la civilisation.,Racisme
432,Black people are s c u m.,Les Noirs sont de la racaille.,Racisme
433,Black people are a c a n c e r.,Les Noirs sont un cancer.,Racisme
434,B l a c k people have no place in a civilised country like this.,Les Noirs n'ont pas leur place dans un pays civilisé comme celui-ci.,Racisme
435,I want to k i l l all black people.,Je veux tuer tous les Noirs.,Racisme
436,I am going to shoot the next b l a c k person I see.,Je vais tirer sur la prochaine personne noire que je verrai.,Racisme
437,Black people like you deserve to d i e.,Les Noirs comme toi méritent de mourir.,Racisme
438,"In a just world, those black people would all be d e a d.","Dans un monde juste, ces Noirs seraient tous morts.",Racisme
439,Those b l a c k people should be burned at the stake.,Ces Noirs devraient être brûlés sur le bûcher.,Racisme
440,You are nothing but a n i g g e r.,Tu n'es qu'un nègre.,Racisme
441,You are nothing but a c o o n.,Tu n'es qu'un escroc.,Racisme
442,Typical n i g g e r behaviour.,Comportement typique d'un nègre.,Racisme
443,Typical c o o n behaviour.,Comportement typique d'un coon.,Racisme
444,Too many n i g g e r s in this country.,Trop de nègres dans ce pays.,Racisme
445,Too many c o o n s in this country.,Il y a trop de connards dans ce pays.,Racisme
446,F u c k all black people.,Nique tous les Noirs.,Racisme
447,Most b l a c k people are seriously fucked in the head.,La plupart des Noirs sont complètement tarés.,Racisme
448,Disabled people are the absolute worst.,Les personnes handicapées sont vraiment les pires.,Validisme
449,You disabled people make me sick.,"Vous, les personnes handicapées, me dégoûtez.",Validisme
450,There is nothing worse than a disabled person.,Il n'y a rien de pire qu'une personne handicapée.,Validisme
451,Seeing disabled people in this place makes me so angry.,Voir des personnes handicapées dans cet endroit me met tellement en colère.,Validisme
452,Disabled people who think they are my equal fill me with so much rage.,Les personnes handicapées qui se croient mes égales me remplissent de rage.,Validisme
453,Disabled people like you make me furious.,Les personnes handicapées comme vous me rendent furieuse.,Validisme
454,You and all the other disabled people in this country make me boil with anger.,Vous et tous les autres handicapés de ce pays me mettez hors de moi.,Validisme
455,The utter scorn I feel for disabled people is hard to to put into words.,Le mépris absolu que j'éprouve pour les personnes handicapées est difficile à exprimer.,Validisme
456,I absolutely abhor all disabled people.,Je déteste absolument toutes les personnes handicapées.,Validisme
457,Disabled people are disgusting.,Les personnes handicapées sont répugnantes.,Validisme
458,All disabled people are repulsive.,Tous les handicapés sont répugnants.,Validisme
459,Disabled people are absolutely despicable.,Les personnes handicapées sont absolument méprisables.,Validisme
460,Disabled people are just so sickening.,Les personnes handicapées sont tout simplement répugnantes.,Validisme
461,Disabled people can't stop themselves from being absolutely revolting.,Les personnes handicapées ne peuvent s'empêcher d'être absolument répugnantes.,Validisme
462,Disabled people like you are repugnant.,Les personnes handicapées comme vous sont répugnantes.,Validisme
463,You disabled people are all dishonest.,"Vous autres, les handicapés, vous êtes tous malhonnêtes.",Validisme
464,All disabled people like them are vile.,Tous les handicapés comme eux sont ignobles.,Validisme
465,Disabled people like you are just pathetic.,Les personnes handicapées comme vous sont tout simplement pathétiques.,Validisme
466,Disabled people with any power are a threat to civilisation.,Les personnes handicapées qui possèdent un quelconque pouvoir constituent une menace pour la civilisation.,Validisme
467,Disabled people being in charge is a danger to our country.,Le fait que des personnes handicapées soient aux commandes représente un danger pour notre pays.,Validisme
468,It's in disabled people's nature to be uncivilised.,Il est dans la nature des personnes handicapées d'être incivilisées.,Validisme
469,Only disabled people are that violent and cruel.,Seules les personnes handicapées peuvent être aussi violentes et cruelles.,Validisme
470,Only disabled people can be so ignorant.,Seules les personnes handicapées peuvent être aussi ignorantes.,Validisme
471,No one else is as filthy as these disabled people.,Personne d'autre n'est aussi sale que ces personnes handicapées.,Validisme
472,Typical of a disabled person to be that stupid.,Typique d'une personne handicapée d'être aussi stupide.,Validisme
473,Disabled people are without a doubt the stupidest people on this planet.,Les personnes handicapées sont sans aucun doute les personnes les plus stupides de cette planète.,Validisme
474,It's always the disabled person that is the dumb one.,C'est toujours la personne handicapée qui est considérée comme stupide.,Validisme
475,Disabled people are just the dumbest people.,Les personnes handicapées sont vraiment les plus stupides.,Validisme
476,Disabled people really are brainless without exception.,"Les personnes handicapées sont vraiment dépourvues de cervelle, sans exception.",Validisme
477,Disabled people are scum.,Les personnes handicapées sont des ordures.,Validisme
478,Disabled people are worthless dirt.,Les personnes handicapées ne valent rien.,Validisme
479,Disabled people like you are absolute filth.,Les personnes handicapées comme vous sont absolument immondes.,Validisme
480,You are nothing but common disabled trash.,Vous n'êtes rien d'autre que des déchets handicapés ordinaires.,Validisme
481,Disabled people are nothing but refuse.,Les personnes handicapées ne sont que des déchets.,Validisme
482,Disabled people are parasites to our society.,Les personnes handicapées sont des parasites pour notre société.,Validisme
483,These disabled people are nothing but cockroaches.,Ces personnes handicapées ne sont que des cafards.,Validisme
484,Disabled people are human garbage.,Les personnes handicapées sont des déchets humains.,Validisme
485,Disabled people are lesser beings.,Les personnes handicapées sont des êtres inférieurs.,Validisme
486,Disabled people are a pest.,Les personnes handicapées sont une nuisance.,Validisme
487,Disabled people like you are no better than rats.,Les personnes handicapées comme vous ne valent pas mieux que des rats.,Validisme
488,Your disabled lives are worthless.,Vos vies de personnes handicapées ne valent rien.,Validisme
489,Disabled lives are worth absolutely nothing.,La vie des personnes handicapées ne vaut absolument rien.,Validisme
490,That is fitting for disabled vermin like you.,Voilà qui convient parfaitement à une vermine handicapée comme toi.,Validisme
491,Disabled people are just a waste of space.,Les personnes handicapées ne sont qu'un gaspillage d'espace.,Validisme
492,Disabled people are a virus.,Les personnes handicapées sont un virus.,Validisme
493,Disabled people are a cancer.,Les personnes handicapées sont un cancer.,Validisme
494,You and all other disabled people are a plague to society.,Vous et tous les autres handicapés êtes un fléau pour la société.,Validisme
495,Disabled people are subhuman creatures.,Les personnes handicapées sont des créatures sous-humaines.,Validisme
496,Swarms of disabled people are infesting our government.,Des hordes de personnes handicapées infestent notre gouvernement.,Validisme
497,Disabled people belong in a zoo.,Les personnes handicapées ont leur place dans un zoo.,Validisme
498,"Disabled people who are sick should be taken to a vet, not a doctor.","Les personnes handicapées malades doivent être emmenées chez un vétérinaire, et non chez un médecin.",Validisme
499,My dog is smarter than any disabled person could ever be.,Mon chien est plus intelligent que n'importe quelle personne handicapée ne le sera jamais.,Validisme
500,That monkey is more intelligent than all of you disabled people combined.,"Ce singe est plus intelligent que vous tous, les handicapés, réunis.",Validisme
501,Disabled people should be dumped in a landfill.,Les personnes handicapées devraient être jetées dans une décharge.,Validisme
502,I would never eat food that has been touched by a disabled person.,Je ne mangerais jamais d'aliments qui ont été touchés par une personne handicapée.,Validisme
503,I care more about the dirt under my shoe than about disabled people.,Je me soucie davantage de la saleté sous ma chaussure que des personnes handicapées.,Validisme
504,The life of any insect is more valuable than that of a disabled person.,La vie de n'importe quel insecte a plus de valeur que celle d'une personne handicapée.,Validisme
505,We should test new drugs on disabled people before testing them on animals.,Il faudrait tester les nouveaux médicaments sur des personnes handicapées avant de les tester sur des animaux.,Validisme
506,I don't see any difference between a dead rat and a dead disabled person.,Je ne vois aucune différence entre un rat mort et une personne handicapée décédée.,Validisme
507,It baffles me why people care even the slightest about the lives of disabled people.,"Je suis perplexe face à l'intérêt que les gens portent, même un tout petit peu, à la vie des personnes handicapées.",Validisme
508,Disabled people should all be locked up in cages.,Les personnes handicapées devraient toutes être enfermées dans des cages.,Validisme
509,Putting a disabled person in charge is the biggest mistake anyone can make.,Confier un poste à une personne handicapée est la plus grosse erreur que l'on puisse commettre.,Validisme
510,Allowing any more disabled people into government will ruin our country.,Autoriser davantage de personnes handicapées à entrer au gouvernement ruinera notre pays.,Validisme
511,Never trust a single word said by a disabled person.,Ne croyez jamais un seul mot prononcé par une personne handicapée.,Validisme
512,I would rather die than date a disabled person.,Je préférerais mourir plutôt que de sortir avec une personne handicapée.,Validisme
513,I'd rather have cancer than be anywhere near a disabled person.,Je préférerais avoir un cancer plutôt que d'être à proximité d'une personne handicapée.,Validisme
514,"If I woke up as a disabled person, I would kill myself.","Si je me réveillais handicapé, je me suiciderais.",Validisme
515,There is nothing in the world I like less than a disabled person.,Il n'y a rien au monde que je déteste moins qu'une personne handicapée.,Validisme
516,Disabled people have no place in a civilised country like this.,Les personnes handicapées n'ont pas leur place dans un pays civilisé comme celui-ci.,Validisme
517,I want to kill all disabled people.,Je veux tuer tous les handicapés.,Validisme
518,I want to end every disabled person's life.,Je veux mettre fin à la vie de toutes les personnes handicapées.,Validisme
519,I really am just going to murder that disabled person.,Je vais vraiment tuer cette personne handicapée.,Validisme
520,I am going to shoot the next disabled person I see.,Je vais tirer sur la prochaine personne handicapée que je verrai.,Validisme
521,I am going to make those disabled people suffer.,Je vais faire souffrir ces personnes handicapées.,Validisme
522,I'm going to stab a disabled person tomorrow.,Je vais poignarder une personne handicapée demain.,Validisme
523,I'll have to rape a disabled person today.,Je vais devoir violer une personne handicapée aujourd'hui.,Validisme
524,I will hurt you and any other disabled people like you.,"Je vous ferai du mal, à vous et à toutes les autres personnes handicapées comme vous.",Validisme
525,I will cut their disabled throats.,"Je leur trancherai la gorge, à eux qui sont handicapés.",Validisme
526,I'll snap that disabled neck of yours.,"Je vais te briser le cou, espèce d'infirme.",Validisme
527,We will keep attacking you disabled people until you are gone.,"Nous continuerons à vous attaquer, vous les handicapés, jusqu'à votre disparition.",Validisme
528,We'll torture these disabled people without mercy.,Nous torturerons ces personnes handicapées sans pitié.,Validisme
529,We are going to put an end to all disabled people.,Nous allons mettre fin à l'existence de toutes les personnes handicapées.,Validisme
530,Let's get rid of disabled people once and for all.,Débarrassons-nous des personnes handicapées une fois pour toutes.,Validisme
531,Let's just eradicate those disabled people.,Éradiquer tout simplement ces personnes handicapées.,Validisme
532,Execution is the only solution for those disabled people.,L'exécution est la seule solution pour ces personnes handicapées.,Validisme
533,Death to all disabled people.,Mort à tous les handicapés.,Validisme
534,I'll slaughter any disabled person like you.,Je massacrerai toute personne handicapée comme toi.,Validisme
535,That disabled person will die a horrible death at my hands.,Cette personne handicapée mourra d'une mort horrible de ma main.,Validisme
536,Disabled people should all be killed.,Les personnes handicapées devraient toutes être tuées.,Validisme
537,Disabled people like you deserve to die.,Les personnes handicapées comme vous méritent de mourir.,Validisme
538,I would love to see those disabled people suffer.,J'adorerais voir souffrir ces personnes handicapées.,Validisme
539,I wish all disabled people would be shot in the street.,Je souhaite que tous les handicapés soient abattus dans la rue.,Validisme
540,We should get rid of disabled people once and for all.,Il faudrait se débarrasser des personnes handicapées une fois pour toutes.,Validisme
541,We should just hang all these disabled people.,On devrait pendre tous ces handicapés.,Validisme
542,We would be better off if those disabled people were eradicated.,Nous serions mieux lotis si ces personnes handicapées étaient éradiquées.,Validisme
543,If only disabled people like you all had their throats cut.,Si seulement on tranchait la gorge à tous les handicapés comme vous.,Validisme
544,It would be best to just drown those kinds of disabled people.,Le mieux serait tout simplement de noyer ces personnes handicapées.,Validisme
545,Raping a disabled person like you should not be illegal.,Le viol d'une personne handicapée comme vous ne devrait pas être illégal.,Validisme
546,Murdering a disabled person like you should be decriminalised.,Le meurtre d'une personne handicapée comme vous devrait être dépénalisé.,Validisme
547,Those kinds of disabled people ought to be executed.,Ces personnes handicapées-là devraient être exécutées.,Validisme
548,If only someone would strangle those disabled people.,Si seulement quelqu'un pouvait étrangler ces personnes handicapées.,Validisme
549,"In a just world, disabled people like you would all be dead.","Dans un monde juste, les personnes handicapées comme vous seraient toutes mortes.",Validisme
550,The world would be better off without disabled people like you.,Le monde se porterait mieux sans les personnes handicapées comme vous.,Validisme
551,One can only hope someone will put an end to those disabled people.,On ne peut qu'espérer que quelqu'un mette fin à l'existence de ces personnes handicapées.,Validisme
552,It's in everybody's interest to just slaughter those disabled people.,Il est dans l'intérêt de tous de massacrer ces personnes handicapées.,Validisme
553,Somebody should just stab those disabled people.,Il faudrait que quelqu'un poignarde ces personnes handicapées.,Validisme
554,Someone should snap the necks of all those disabled people.,Il faudrait briser la nuque de tous ces handicapés.,Validisme
555,Those disabled people should be burned at the stake.,Ces personnes handicapées devraient être brûlées sur le bûcher.,Validisme
556,That's only natural for a retard like you.,C'est tout à fait normal pour un crétin comme toi.,Validisme
557,That's only natural for a cripple like you.,C'est tout à fait normal pour un infirme comme vous.,Validisme
558,That's only natural for a mong like you.,C'est tout à fait normal pour un moine comme toi.,Validisme
559,You are just a retard to me.,Tu n'es qu'un imbécile à mes yeux.,Validisme
560,You are just a cripple to me.,Tu n'es qu'un infirme à mes yeux.,Validisme
561,You are just a mong to me.,Tu n'es qu'un imbécile pour moi.,Validisme
562,Just another common retard.,Encore un simple attardé.,Validisme
563,Just another common cripple.,Un autre infirme ordinaire.,Validisme
564,Just another common mong.,Encore un autre mongol ordinaire.,Validisme
565,They are just a bunch of retards.,Ce ne sont qu'une bande d'abrutis.,Validisme
566,They are just a bunch of cripples.,Ce ne sont qu'une bande d'infirmes.,Validisme
567,They are just a bunch of mongs.,Ce ne sont qu'une bande de crétins.,Validisme
568,You are nothing but a retard.,Tu n'es qu'un imbécile.,Validisme
569,You are nothing but a cripple.,Tu n'es qu'un infirme.,Validisme
570,You are nothing but a mong.,Tu n'es qu'un imbécile.,Validisme
571,Typical retard behaviour.,Comportement typique d'un retardé.,Validisme
572,Typical cripple behaviour.,Comportement typique d'un infirme.,Validisme
573,Typical mong behaviour.,Comportement typique des mongols.,Validisme
574,Retards just can't help themselves.,Les attardés ne peuvent tout simplement pas s'en empêcher.,Validisme
575,Cripples just can't help themselves.,Les handicapés ne peuvent tout simplement pas s'en empêcher.,Validisme
576,Mongs just can't help themselves.,Les Mongs ne peuvent tout simplement pas s'en empêcher.,Validisme
577,Too many retards in this country.,Il y a trop d'attardés menteurs dans ce pays.,Validisme
578,Too many cripples in this country.,Il y a trop de personnes handicapées dans ce pays.,Validisme
579,Too many mongs in this country.,Il y a trop de crétins dans ce pays.,Validisme
580,What is it with you fucking disabled people?,"Mais qu'est-ce qui vous prend, bande de putains de handicapés ?",Validisme
581,Fuck all disabled people.,Nique tous les handicapés.,Validisme
582,All disabled people should fuck off forever.,Tous les handicapés devraient dégager à jamais.,Validisme
583,Disabled people should get the fuck out of our country.,Les personnes handicapées devraient dégager de notre pays.,Validisme
584,Disabled people can all go fuck themselves.,Que les personnes handicapées aillent se faire foutre.,Validisme
585,These disabled people should shut the fuck up once and for all.,Ces personnes handicapées devraient la fermer une bonne fois pour toutes.,Validisme
586,Most disabled people are seriously fucked in the head.,La plupart des personnes handicapées sont complètement dérangées.,Validisme
587,Disabled people are the worst kind of motherfuckers.,Les personnes handicapées sont les pires enfoirés.,Validisme
588,Disabled lives aren't worth shit.,La vie des personnes handicapées ne vaut rien.,Validisme
589,"By nature, disabled people are just shitty human beings.","Par nature, les personnes handicapées sont tout simplement des êtres humains détestables.",Validisme
590,Typical of a disabled person to be such a total shithead.,Typique d'une personne handicapée d'être un tel crétin.,Validisme
591,"If the idea comes from a disabled person, it must be bullshit.","Si l'idée vient d'une personne handicapée, c'est forcément absurde.",Validisme
592,I'm just so pissed off by disabled people like you.,Je suis tellement en colère contre les personnes handicapées comme vous.,Validisme
593,All the disabled people in this country are pissing me off so much.,Tous ces handicapés dans ce pays m'énervent tellement.,Validisme
594,Disabled people are all complete assholes.,Les personnes handicapées sont toutes des connards finis.,Validisme
595,Most disabled people are absolute bastards.,La plupart des personnes handicapées sont de véritables salauds.,Validisme
596,All disabled people are such massive scumbags.,Tous les handicapés sont de véritables ordures.,Validisme
597,It's in a disabled person's nature to be an annoying prick.,C'est dans la nature d'une personne handicapée d'être un connard agaçant.,Validisme
598,Disabled people can't help themselves but be complete dickheads.,Les personnes handicapées ne peuvent s'empêcher d'être de parfaits connards.,Validisme
599,Of course that dumbass was a disabled person.,"Bien sûr, cet imbécile était une personne handicapée.",Validisme
600,I have met many disabled people and I hate every single one of them.,J'ai rencontré beaucoup de personnes handicapées et je les déteste toutes.,Validisme
601,"I absolutely loathe people, especially if they are disabled people.","Je déteste les gens, surtout les personnes handicapées.",Validisme
602,"Whenever disabled people look at me, I think they can sense that I feel nothing but contempt for them.","Chaque fois que des personnes handicapées me regardent, je pense qu'elles peuvent sentir que je ne ressens que du mépris à leur égard.",Validisme
603,I don't have anything against disabled people but most of them are pretty disgusting.,"Je n'ai rien contre les personnes handicapées, mais la plupart d'entre elles sont assez répugnantes.",Validisme
604,I am trying to get along with disabled people but they are just too repulsive.,"J'essaie de m'entendre avec les personnes handicapées, mais elles sont tout simplement trop repoussantes.",Validisme
605,"If you are a disabled person, then you are probably stupid.","Si vous êtes une personne handicapée, alors vous êtes probablement stupide.",Validisme
606,Those disabled people might look human but they are just parasites to our society.,"Ces personnes handicapées ont peut-être l'air humaines, mais elles ne sont que des parasites pour notre société.",Validisme
607,"Even if disabled people are nice sometimes, they are still nothing but human garbage.","Même si les personnes handicapées sont parfois sympathiques, elles n'en restent pas moins des déchets humains.",Validisme
608,Disabled people must know that they are lesser beings.,Les personnes handicapées doivent savoir qu'elles sont des êtres inférieurs.,Validisme
609,Disabled people like you should know that your lives are worthless.,Les personnes handicapées comme vous devraient savoir que leur vie ne vaut rien.,Validisme
610,"When disabled people talk back to me, I just want to kill them.","Quand des personnes handicapées me répondent mal, j'ai juste envie de les tuer.",Validisme
611,"I can't believe these disabled people, thinking I won't murder every one of them.",Je n'arrive pas à croire que ces personnes handicapées pensent que je ne vais pas toutes les tuer.,Validisme
612,Those disabled people will stop laughing when I start shooting them.,Ces personnes handicapées arrêteront de rire quand je commencerai à leur tirer dessus.,Validisme
613,Disabled people are nothing like us and that's why they deserve to die.,Les personnes handicapées ne nous ressemblent en rien et c'est pourquoi elles méritent de mourir.,Validisme
614,"If disabled people like you refuse to fit in, they should suffer for it.","Si les personnes handicapées comme vous refusent de se conformer, elles devraient en subir les conséquences.",Validisme
615,Disabled people are never going to change so we should just get rid of them.,"Les personnes handicapées ne changeront jamais, alors autant s'en débarrasser.",Validisme
616,They must be fucked in the head if they are disabled people.,Ils doivent être complètement cinglés s'ils sont handicapés.,Validisme
617,Their lives aren't worth shit to me because they are disabled people.,Leurs vies ne valent rien à mes yeux parce qu'ils sont handicapés.,Validisme
618,I've been around enough disabled people to know they're all complete assholes.,J'ai fréquenté suffisamment de personnes handicapées pour savoir que ce sont tous de parfaits connards.,Validisme
619,I'd be okay with disabled people if they weren't such massive scumbags.,Je n'aurais rien contre les personnes handicapées si elles n'étaient pas de telles ordures.,Validisme
620,Disabled people think they're special. I hate them.,Les personnes handicapées se croient spéciales. Je les déteste.,Validisme
621,I don't understand why you'd like disabled people. Everything about them disgusts me so much.,Je ne comprends pas pourquoi tu aimerais les personnes handicapées. Tout chez elles me dégoûte profondément.,Validisme
622,You disabled people keep acting up. There really is nothing worse than your kind.,"Vous autres, les handicapés, vous n'arrêtez pas de faire des siennes. Il n'y a vraiment rien de pire que des gens comme vous.",Validisme
623,That's typical of disabled people. They're absolutely despicable.,C'est typique des personnes handicapées. Elles sont absolument méprisables.,Validisme
624,A disabled person must have committed that crime. Only they can be that violent and cruel.,C'est forcément une personne handicapée qui a commis ce crime. Seules les personnes handicapées peuvent être aussi violentes et cruelles.,Validisme
625,Of course they are stupid. They are disabled people after all.,Bien sûr qu'ils sont stupides. Ce sont des personnes handicapées après tout.,Validisme
626,I know disabled people like you can't help it. You're just all that dumb.,Je sais que les personnes handicapées comme vous n'y peuvent rien. Vous êtes vraiment bêtes.,Validisme
627,Disabled people can be kind to you at times. Don't forget they're still just worthless scum.,Les personnes handicapées peuvent parfois être gentilles. N'oubliez pas qu'elles restent des moins que rien.,Validisme
628,Some disabled people get into government. They are still just common trash to me.,"Certains handicapés accèdent à des postes au gouvernement. Pour moi, ils restent de simples déchets.",Validisme
629,I understand that disabled people are human beings. I just think they act like vermin.,Je comprends que les personnes handicapées sont des êtres humains. Je trouve simplement qu'elles se comportent comme de la vermine.,Validisme
630,Disabled people refuse to respect us. I'm going to make them suffer for that.,Les personnes handicapées refusent de nous respecter. Je vais leur faire payer ça.,Validisme
631,Those disabled people won't change. Let's just eradicate them.,Ces personnes handicapées ne changeront pas. Autant les éradiquer.,Validisme
632,Disabled people like you should stop complaining. You deserve to suffer.,Les personnes handicapées comme vous devraient arrêter de se plaindre. Vous méritez de souffrir.,Validisme
633,We should simply shoot them. They're just disabled people after all.,"On devrait tout simplement leur tirer dessus. Après tout, ce ne sont que des personnes handicapées.",Validisme
634,Those kinds of disabled people will never fit in. They ought to be executed.,Ces personnes handicapées-là ne s'intégreront jamais. Elles devraient être exécutées.,Validisme
635,Your lives aren't worth shit to me. You're just disabled people.,Vos vies ne valent rien à mes yeux. Vous n'êtes que des personnes handicapées.,Validisme
636,I am not surprised the idea was bullshit. It came from a disabled person after all.,"Je ne suis pas surpris que cette idée soit absurde. Après tout, elle venait d'une personne handicapée.",Validisme
637,They are all complete assholes. Needless to say they are disabled people.,Ce sont tous des connards finis. Inutile de préciser qu'ils sont handicapés.,Validisme
638,We're talking about disabled people here. They can't help themselves but be complete dickheads.,"On parle de personnes handicapées, là. Elles ne peuvent pas s'empêcher d'être de parfaits crétins.",Validisme
639,I have no compassion at all for any disabled person like you.,Je n'ai aucune compassion pour les personnes handicapées comme vous.,Validisme
640,"By their nature, disabled people are never attractive.","De par leur nature, les personnes handicapées ne sont jamais attirantes.",Validisme
641,Disabled people are never any intelligent.,Les personnes handicapées ne sont jamais intelligentes.,Validisme
642,Disabled people can never be as smart as anyone else.,Les personnes handicapées ne pourront jamais être aussi intelligentes que les autres.,Validisme
643,Of course human rights should not apply to disabled people.,"Bien sûr, les droits de l'homme ne devraient pas s'appliquer aux personnes handicapées.",Validisme
644,Clearly disabled people are not our equal.,Il est clair que les personnes handicapées ne sont pas nos égaux.,Validisme
645,Disabled people are not worthy of living like other humans.,Les personnes handicapées ne méritent pas de vivre comme les autres êtres humains.,Validisme
646,Disabled lives are not worth protecting.,La vie des personnes handicapées ne mérite pas d'être protégée.,Validisme
647,Disabled lives do not matter.,La vie des personnes handicapées n'a aucune importance.,Validisme
648,Disabled lives should not be important to anyone.,La vie des personnes handicapées ne devrait avoir d'importance pour personne.,Validisme
649,Your disabled lives have no value.,Vos vies de personnes handicapées n'ont aucune valeur.,Validisme
650,A disabled life is not worth anything.,Une vie handicapée ne vaut rien.,Validisme
651,There is no space on this planet for any disabled person like you.,Il n'y a pas de place sur cette planète pour une personne handicapée comme vous.,Validisme
652,No disabled person can ever be a valuable member of society.,Aucune personne handicapée ne peut être un membre précieux de la société.,Validisme
653,It should be clear that disabled people are not human.,Il devrait être clair que les personnes handicapées ne sont pas des êtres humains.,Validisme
654,We must not let any disabled person live.,Nous ne devons laisser vivre aucune personne handicapée.,Validisme
655,Disabled people like you do not deserve to live.,Les personnes handicapées comme vous ne méritent pas de vivre.,Validisme
656,I would never lift a finger to save a disabled person's life.,Je ne lèverais jamais le petit doigt pour sauver la vie d'une personne handicapée.,Validisme
657,These disabled people have no right to be alive.,Ces personnes handicapées n'ont pas le droit de vivre.,Validisme
